event-id,visible,timestamp,location-long,location-lat,comments,gps:hdop,gps:satellite-count,ground-speed,heading,height-above-ellipsoid,sequence-number,sigfox:computed-location-radius,sigfox:computed-location-source,sigfox:computed-location-status,sigfox:country,sigfox:device-type,sigfox:duplicates,sigfox:link-quality,sigfox:lqi,sigfox:operator,sigfox:rssi,tag-voltage,transmission-protocol,transmission-timestamp,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16603858182,true,2020-10-18 10:31:00.000,16.920866666666665,48.15488333333333,"00040d",,,,,,1035,,,,,,,,,,,3.2,,2020-10-18 10:31:11.000,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16503279122,true,2020-10-07 15:59:00.000,16.79706667,48.14136667,"035E",,0,0.0,0.0,0.0,,,,,,,,,,,,7.0,,,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
16503279125,true,2020-10-08 01:54:00.000,16.9207,48.15488333,"0360",,0,0.0,0.0,0.0,,,,,,,,,,,,6.0,,,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
16503279128,true,2020-10-08 05:03:00.000,16.9218,48.15373333,"0361",,0,0.0,0.0,0.0,,,,,,,,,,,,6.0,,,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
16507223044,true,2020-10-09 00:07:00.000,16.912166666666668,48.15861666666667,"500366",,,,,,867,,,,,,,,,,,3.7,,2020-10-09 00:07:33.000,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
16507786308,true,2020-10-09 03:19:00.000,16.921733333333332,48.15376666666667,"500367",,,,,,868,,,,,,,,,,,3.7,,2020-10-09 03:19:43.000,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
16508507439,true,2020-10-09 06:28:00.000,16.921466666666667,48.15351666666667,"500368",,,,,,869,,,,,,,,,,,3.7,,2020-10-09 06:29:05.000,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
16509775327,true,2020-10-09 09:38:00.000,16.921566666666667,48.155883333333335,"500369",,,,,,870,,,,,,,,,,,3.7,,2020-10-09 09:38:55.000,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
18034387775,true,2021-03-03 16:30:00.000,9.839266666666667,47.69213333333333,"600391",,,,,,912,,,,,,,,,,,3.8,,2021-03-03 16:30:50.000,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
18037630111,true,2021-03-04 02:06:00.000,9.8392,47.6921,"500392",,,,,,915,,,,,,,,,,,3.7,,2021-03-04 02:06:04.000,"gps","Sus scrofa","C31AD1","C31AD1","boar_study_austria"
16503279126,true,2020-10-08 04:48:00.000,16.92153333,48.15365,"03A7",,0,0.0,0.0,0.0,,,,,,,,,,,,5.0,,,"gps","Sus scrofa","C2FC18","C2FC18","boar_study_austria"
16503279129,true,2020-10-08 07:51:00.000,16.92193333,48.1535,"03A8",,0,0.0,0.0,0.0,,,,,,,,,,,,6.0,,,"gps","Sus scrofa","C2FC18","C2FC18","boar_study_austria"
16506228947,true,2020-10-08 20:13:00.000,16.906933333333335,48.15665,"5003ab",,,,,,935,,,,,,,,,,,3.7,,2020-10-08 20:13:52.000,"gps","Sus scrofa","C2FC18","C2FC18","boar_study_austria"
16507634539,true,2020-10-09 02:24:00.000,16.919066666666666,48.153666666666666,"5003ac",,,,,,937,,,,,,,,,,,3.7,,2020-10-09 02:24:23.000,"gps","Sus scrofa","C2FC18","C2FC18","boar_study_austria"
16509126239,true,2020-10-09 08:32:00.000,16.922433333333334,48.153933333333335,"3003ae",,,,,,939,,,,,,,,,,,3.5,,2020-10-09 08:32:10.000,"gps","Sus scrofa","C2FC18","C2FC18","boar_study_austria"
16511813366,true,2020-10-09 11:35:00.000,16.921566666666667,48.155366666666666,"4003af",,,,,,940,,,,,,,,,,,3.6,,2020-10-09 11:35:49.000,"gps","Sus scrofa","C2FC18","C2FC18","boar_study_austria"
16514483258,true,2020-10-09 17:44:00.000,16.9129,48.157333333333334,"2003b1",,,,,,942,,,,,,,,,,,3.4,,2020-10-09 17:44:10.000,"gps","Sus scrofa","C2FC18","C2FC18","boar_study_austria"
20278790981,true,2021-10-12 06:03:00.000,16.939033333333334,48.1684,"6002a1",,,,,,17,,,,,,,,,,,3.8,,2021-10-12 06:03:13.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20287872546,true,2021-10-13 04:27:00.000,16.9295,48.177366666666664,"6003e4",,,,,,23,,,,,,,,,,,3.8,,2021-10-13 04:27:54.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20296876637,true,2021-10-14 08:45:00.000,16.930866666666667,48.165933333333335,"60057c",,,,,,30,,,,,,,,,,,3.8,,2021-10-14 08:45:34.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20314274700,true,2021-10-16 04:14:00.000,16.931633333333334,48.162016666666666,"6007f3",,,,,,41,,,,,,,,,,,3.8,,2021-10-16 04:14:13.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20321908205,true,2021-10-17 04:27:00.000,16.931933333333333,48.17055,"600953",,,,,,47,,,,,,,,,,,3.8,,2021-10-17 04:27:48.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20324465109,true,2021-10-17 12:11:00.000,16.9328,48.166133333333335,"6009c5",,,,,,49,,,,,,,,,,,3.8,,2021-10-17 12:12:03.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20327042769,true,2021-10-17 20:11:00.000,16.932466666666667,48.16611666666667,"600a3a",,,,,,51,,,,,,,,,,,3.8,,2021-10-17 20:11:41.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20329026025,true,2021-10-18 04:11:00.000,16.9318,48.16716666666667,"600ab0",,,,,,53,,,,,,,,,,,3.8,,2021-10-18 04:11:51.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20330123764,true,2021-10-18 08:12:00.000,16.934833333333334,48.166016666666664,"600aeb",,,,,,54,,,,,,,,,,,3.8,,2021-10-18 08:13:04.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20334876353,true,2021-10-18 16:11:00.000,16.930066666666665,48.165166666666664,"600b5f",,,,,,56,,,,,,,,,,,3.8,,2021-10-18 16:11:41.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20336000554,true,2021-10-18 20:11:00.000,16.9315,48.1753,"600b9a",,,,,,57,,,,,,,,,,,3.8,,2021-10-18 20:11:21.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20338081088,true,2021-10-19 04:28:00.000,16.932666666666666,48.16896666666667,"600c11",,,,,,59,,,,,,,,,,,3.8,,2021-10-19 04:28:43.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20342048707,true,2021-10-19 12:11:00.000,16.930866666666667,48.1665,"600c81",,,,,,61,,,,,,,,,,,3.8,,2021-10-19 12:11:36.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20381795891,true,2021-10-19 20:12:00.000,16.930366666666668,48.1673,"600cf7",,,,,,63,,,,,,,,,,,3.8,,2021-10-19 20:12:12.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20382913506,true,2021-10-20 00:12:00.000,16.937966666666668,48.16555,"600d31",,,,,,64,,,,,,,,,,,3.8,,2021-10-20 00:12:58.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20383842706,true,2021-10-20 04:13:00.000,16.938133333333333,48.16825,"500d6b",,,,,,65,,,,,,,,,,,3.7,,2021-10-20 04:14:04.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20388911581,true,2021-10-21 04:11:00.000,16.9355,48.17015,"600ec5",,,,,,71,,,,,,,,,,,3.8,,2021-10-21 04:11:24.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20392027458,true,2021-10-21 20:11:00.000,16.932166666666667,48.16895,"500faf",,,,,,75,,,,,,,,,,,3.7,,2021-10-21 20:11:57.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20393319680,true,2021-10-22 04:13:00.000,16.929,48.1659,"501024",,,,,,77,,,,,,,,,,,3.7,,2021-10-22 04:13:45.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20408921859,true,2021-10-23 16:11:00.000,16.930866666666667,48.166916666666665,"501230",,,,,,86,,,,,,,,,,,3.7,,2021-10-23 16:11:49.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20409812473,true,2021-10-24 04:13:00.000,16.939033333333334,48.16845,"5012e0",,,,,,89,,,,,,,,,,,3.7,,2021-10-24 04:13:41.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20410075361,true,2021-10-24 08:11:00.000,16.931366666666666,48.16681666666667,"50131a",,,,,,90,,,,,,,,,,,3.7,,2021-10-24 08:11:40.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20411655267,true,2021-10-24 16:29:00.000,16.9284,48.15918333333333,"501391",,,,,,92,,,,,,,,,,,3.7,,2021-10-24 16:29:25.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20421583220,true,2021-10-25 08:12:00.000,16.9327,48.16348333333333,"501474",,,,,,96,,,,,,,,,,,3.7,,2021-10-25 08:12:59.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20425957856,true,2021-10-25 16:11:00.000,16.9361,48.1663,"5014e8",,,,,,98,,,,,,,,,,,3.7,,2021-10-25 16:12:09.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20426689087,true,2021-10-25 20:12:00.000,16.940333333333335,48.17633333333333,"501523",,,,,,99,,,,,,,,,,,3.7,,2021-10-25 20:12:31.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20427442783,true,2021-10-26 08:12:00.000,16.935133333333333,48.1682,"5015d2",,,,,,102,,,,,,,,,,,3.7,,2021-10-26 08:12:39.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20441562123,true,2021-10-28 04:11:00.000,16.936533333333333,48.172266666666665,"50184c",,,,,,113,,,,,,,,,,,3.7,,2021-10-28 04:11:22.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20442938201,true,2021-10-28 12:12:00.000,16.9338,48.16546666666667,"5018c1",,,,,,115,,,,,,,,,,,3.7,,2021-10-28 12:12:34.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20443534546,true,2021-10-28 16:13:00.000,16.933666666666667,48.16583333333333,"5018fb",,,,,,116,,,,,,,,,,,3.7,,2021-10-28 16:13:24.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20444638707,true,2021-10-28 20:13:00.000,16.933933333333332,48.16546666666667,"501935",,,,,,117,,,,,,,,,,,3.7,,2021-10-28 20:13:41.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20445093435,true,2021-10-29 04:12:00.000,16.937933333333334,48.17245,"5019a9",,,,,,119,,,,,,,,,,,3.7,,2021-10-29 04:12:16.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20463554829,true,2021-10-30 00:45:00.000,16.941333333333333,48.177083333333336,"501acd",,,,,,124,,,,,,,,,,,3.7,,2021-10-30 00:46:01.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20463595802,true,2021-10-30 04:10:00.000,16.9359,48.17191666666667,"501aff",,,,,,125,,,,,,,,,,,3.7,,2021-10-30 04:11:00.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20463809269,true,2021-10-30 08:15:00.000,16.933866666666667,48.16546666666667,"401b3a",,,,,,126,,,,,,,,,,,3.6,,2021-10-30 08:15:17.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20464973319,true,2021-10-30 12:12:00.000,16.934166666666666,48.165366666666664,"401b74",,,,,,127,,,,,,,,,,,3.6,,2021-10-30 12:12:46.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20466002671,true,2021-10-30 20:12:00.000,16.941833333333335,48.17678333333333,"401be8",,,,,,129,,,,,,,,,,,3.6,,2021-10-30 20:12:13.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20466193239,true,2021-10-31 00:11:00.000,16.9416,48.1737,"401c22",,,,,,130,,,,,,,,,,,3.6,,2021-10-31 00:12:01.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20466760404,true,2021-10-31 04:12:00.000,16.941366666666667,48.1715,"401c5d",,,,,,131,,,,,,,,,,,3.6,,2021-10-31 04:12:24.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20493066657,true,2021-11-01 04:10:00.000,16.941233333333333,48.17593333333333,"301dba",,,,,,137,,,,,,,,,,,3.5,,2021-11-01 04:11:00.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20493286200,true,2021-11-01 08:16:00.000,16.936766666666667,48.17158333333333,"201df5",,,,,,138,,,,,,,,,,,3.4,,2021-11-01 08:17:10.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20496890889,true,2021-11-01 16:14:00.000,16.938966666666666,48.17095,"201e68",,,,,,140,,,,,,,,,,,3.4,,2021-11-01 16:14:24.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20600169494,true,2021-11-02 04:10:00.000,16.942033333333335,48.1766,"101f16",,,,,,143,,,,,,,,,,,3.3,,2021-11-02 04:11:07.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
20600730693,true,2021-11-02 08:12:00.000,16.933733333333333,48.16556666666666,"001f51",,,,,,144,,,,,,,,,,,3.2,,2021-11-02 08:12:40.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
