H1;H2;mean;median;lower;upper;pVal
Forest, wet;Stream;7,45767393061381e-01;7,27201901684906e-01;0,45182630317033756;1,1010766997379167;1,07708922910771e-01
Lake;Agriculture, extensive;3,35581294934048e-02;3,12097319779460e-02;0,00791832021759666;0,0724050248145468;9,99990000099999e-06
Lake;Agriculture, intensive;Inf;Inf;0,08800486768524321;Inf;4,73805261947381e-01
Lake;Artificial;3,56952636967427e-01;3,16615632952604e-01;0,07743658686164671;0,8209911663767269;1,37898621013790e-02
Lake;Forest;3,79641621977284e-01;3,87021527172430e-01;0,10640354453790822;0,7631999576163362;2,61997380026200e-03
Lake;Forest, wet;6,87674682680047e-01;6,94436538782311e-01;0,18103318127381085;1,3982479617136991;2,43617563824362e-01
Lake;Lake;1,00000000000000e+00;1,00000000000000e+00;1,00000000000000000;1,0000000000000000;1,00000000000000e+00
Lake;Missing;5,27985758748976e-01;5,12270710919875e-01;0,12933298854410077;1,1152127317586724;8,96591034089659e-02
Lake;Nature, dry;7,12403264661627e-01;7,05600765417402e-01;0,19743572506638563;1,4967849467320753;2,69437305626944e-01
Lake;Nature, wet;4,64728004371540e+00;4,89792426574691e+00;1,66695945486351715;8,3415084432700812;5,99994000059999e-05
Lake;Road, not paved;5,19337714197667e-01;4,60909097665496e-01;0,12810392671559881;1,2167049148085629;1,09878901210988e-01
Lake;Stream;5,09224405691521e-01;4,82937187840897e-01;0,11665672087733103;1,1137812405581131;8,55991440085599e-02
Missing;Agriculture, extensive;6,92016302105921e-02;6,27455824658652e-02;0,03415913182032441;0,1252105869974746;9,99990000099999e-06
Missing;Agriculture, intensive;Inf;Inf;0,40492360746937867;Inf;4,73605263947361e-01
Missing;Artificial;7,00775495132350e-01;6,83543925997134e-01;0,33519223164590317;1,1263785389473118;1,18708812911871e-01
Missing;Forest;7,51416550079545e-01;7,28342997531327e-01;0,49736139828059217;1,0854820813738979;9,42590574094259e-02
Missing;Forest, wet;1,35489135179188e+00;1,31435079702302e+00;0,88527311192717573;1,9606744155823757;1,24628753712463e-01
Missing;Lake;3,12489717538623e+00;1,95209286569008e+00;0,89668990672051363;7,7319793755691713;8,96591034089659e-02
Missing;Missing;1,00000000000000e+00;1,00000000000000e+00;1,00000000000000000;1,0000000000000000;1,00000000000000e+00
Missing;Nature, dry;1,40367901737332e+00;1,35168154710402e+00;0,85462372385252827;2,1302940907284493;1,36808631913681e-01
Missing;Nature, wet;9,97786075705623e+00;9,58415754566726e+00;6,06807221373720651;15,2189876392983958;9,99990000099999e-06
Missing;Road, not paved;1,00636032294045e+00;9,42078475909774e-01;0,56784513743565224;1,6648439730335167;4,27655723442766e-01
Missing;Stream;9,91795737579742e-01;9,51963089059773e-01;0,56482968352362883;1,5531409852920375;4,34665653343467e-01
Nature, dry;Agriculture, extensive;5,04534743719517e-02;4,61536842003853e-02;0,02735090353924537;0,0875086148834669;9,99990000099999e-06
Nature, dry;Agriculture, intensive;Inf;Inf;0,33948138312258025;Inf;4,73805261947381e-01
Nature, dry;Artificial;5,13039292172145e-01;5,15640573812686e-01;0,25596600508819484;0,7639705249471213;7,99992000079999e-04
Nature, dry;Forest;5,46714955914855e-01;5,42094973454728e-01;0,42328433693671180;0,6858929670955338;4,99995000049999e-05
Nature, dry;Forest, wet;9,90176294298038e-01;9,74957369250413e-01;0,72290430477465240;1,3092983368864430;4,44185558144419e-01
Nature, dry;Lake;2,28736944204756e+00;1,41723202294603e+00;0,66809864850194245;5,0649394869437270;2,69437305626944e-01
Nature, dry;Missing;7,69718132276851e-01;7,39819228976413e-01;0,46941875507295716;1,1701055939560214;1,36808631913681e-01
